pc_datetime,arduino_ms,state
2026-07-29 17:49:00.668,558135,LOW
2026-07-29 17:49:04.508,561970,HIGH
2026-07-29 17:49:08.053,565521,LOW
2026-07-29 17:49:14.299,571762,HIGH
2026-07-29 17:49:16.738,574195,LOW
2026-07-29 17:49:21.568,579016,HIGH
2026-07-29 17:49:29.709,587154,LOW
2026-07-29 17:49:33.575,591015,HIGH
2026-07-29 17:49:39.703,597131,LOW
2026-07-29 17:49:45.339,602762,HIGH
2026-07-29 17:50:14.504,631895,LOW
2026-07-29 17:50:18.220,635609,HIGH
2026-07-29 17:50:23.202,640590,LOW
2026-07-29 17:50:27.229,644607,HIGH
2026-07-29 17:50:32.902,650274,LOW
2026-07-29 17:50:38.204,655578,HIGH
2026-07-29 17:50:40.566,657936,LOW
2026-07-29 17:50:46.734,664096,HIGH
2026-07-29 17:50:53.288,670639,LOW
2026-07-29 17:51:14.528,691871,HIGH
2026-07-29 17:51:16.357,693690,LOW
2026-07-29 17:51:23.311,700631,HIGH
2026-07-29 17:51:28.024,705352,LOW
2026-07-29 17:54:47.334,904442,HIGH
2026-07-29 17:54:49.201,906307,LOW
2026-07-29 17:55:28.723,945792,HIGH
2026-07-29 17:55:31.883,948948,LOW
2026-07-29 17:55:35.904,952963,HIGH
2026-07-29 17:55:43.282,960332,LOW
2026-07-29 17:55:47.588,964634,HIGH
2026-07-29 17:55:49.283,966326,LOW
2026-07-29 17:55:53.006,970046,HIGH
2026-07-29 17:55:54.420,971457,LOW
2026-07-29 18:00:00.516,1217308,HIGH
2026-07-29 18:00:04.075,1220859,LOW
2026-07-29 18:00:07.910,1224688,HIGH
2026-07-29 18:00:11.795,1228569,LOW
2026-07-29 18:00:16.694,1233462,HIGH
2026-07-29 18:00:19.388,1236154,LOW
2026-07-29 18:00:23.618,1240378,HIGH
2026-07-29 18:00:25.542,1242301,LOW
2026-07-29 18:01:41.894,1318575,HIGH
2026-07-29 18:01:48.386,1325064,LOW
2026-07-29 18:01:53.162,1329837,HIGH
2026-07-29 18:01:55.681,1332347,LOW
2026-07-29 18:02:05.175,1341833,HIGH
2026-07-29 18:02:06.521,1343179,LOW
2026-07-29 18:02:15.512,1352157,HIGH
2026-07-29 18:02:17.573,1354216,LOW
2026-07-29 18:02:21.322,1357961,HIGH
2026-07-29 18:02:22.965,1359606,LOW
2026-07-29 18:02:29.751,1366381,HIGH
2026-07-29 18:02:36.965,1373594,LOW
2026-07-29 18:02:43.396,1380012,HIGH
2026-07-29 18:02:44.820,1381434,LOW
2026-07-29 18:02:48.621,1385239,HIGH
2026-07-29 18:02:49.971,1386581,LOW
2026-07-29 18:02:53.900,1390506,HIGH
2026-07-29 18:02:55.460,1392064,LOW
2026-07-29 18:02:59.156,1395759,HIGH
2026-07-29 18:03:00.495,1397103,LOW
2026-07-29 18:03:04.279,1400880,HIGH
2026-07-29 18:03:07.212,1403802,LOW
2026-07-29 18:03:11.056,1407649,HIGH
2026-07-29 18:03:17.221,1413808,LOW
2026-07-29 18:03:23.595,1420170,HIGH
2026-07-29 18:03:25.764,1422337,LOW
2026-07-29 18:03:32.740,1429308,HIGH
2026-07-29 18:03:34.238,1430808,LOW
2026-07-29 18:03:38.812,1435386,HIGH
2026-07-29 18:03:41.486,1438043,LOW
2026-07-29 18:03:45.201,1441762,HIGH
2026-07-29 18:03:51.261,1447810,LOW
2026-07-29 18:03:55.751,1452292,HIGH
2026-07-29 18:03:57.093,1453632,LOW
2026-07-29 18:04:01.005,1457542,HIGH
2026-07-29 18:04:05.446,1461977,LOW
2026-07-29 18:04:09.229,1465757,HIGH
2026-07-29 18:04:13.380,1469903,LOW
2026-07-29 18:04:17.096,1473617,HIGH
2026-07-29 18:04:20.570,1477102,LOW
2026-07-29 18:04:24.437,1480957,HIGH
2026-07-29 18:05:38.021,1554457,LOW
2026-07-29 18:05:42.120,1558552,HIGH
2026-07-29 18:06:09.911,1586314,LOW
2026-07-29 18:06:14.915,1591323,HIGH
2026-07-29 18:06:17.575,1593970,LOW
2026-07-29 18:06:22.607,1599001,HIGH
2026-07-29 18:06:26.394,1602780,LOW
2026-07-29 18:06:31.432,1607813,HIGH
2026-07-29 18:06:35.577,1611954,LOW
2026-07-29 18:06:39.391,1615771,HIGH
2026-07-29 18:06:48.484,1624852,LOW
2026-07-29 18:07:49.757,1686057,HIGH
2026-07-29 18:07:51.103,1687402,LOW
2026-07-29 18:11:24.276,1900356,HIGH
2026-07-29 18:11:25.631,1901721,LOW
2026-07-29 18:11:31.174,1907259,HIGH
2026-07-29 18:11:32.531,1908605,LOW
